id,x,y,dd,v,d,t,s,r,p,c
8670255,13.894151,100.732399,2014-10-03,ไม่ระบุพาหนะ,14122944,0:00,K,0,0,0
8671336,13.783288,100.531599,2014-10-21,ไม่ระบุพาหนะ,14138496,0:00,K,0,0,0
8671324,13.624303,100.593855,2014-09-13,ไม่ระบุพาหนะ,14105664,0:00,K,0,0,0
8671417,13.722697,100.746513,2014-09-03,ไม่ระบุพาหนะ,14097024,0:00,K,0,0,0
8670194,13.77821,100.394666,2014-11-21,ไม่ระบุพาหนะ,14165280,0:00,K,0,0,0
8670162,13.884454,100.580821,2014-04-30,ไม่ระบุพาหนะ,13988160,0:00,K,0,0,0
8671346,13.688271,100.440928,2014-08-12,ไม่ระบุพาหนะ,14078016,0:00,K,0,0,0
8671578,13.789248,100.696097,2014-06-05,ไม่ระบุพาหนะ,14019264,0:00,K,0,0,0
8670969,13.898361,100.610347,2014-05-04,ไม่ระบุพาหนะ,13991616,0:00,K,0,0,0
8671352,13.705523,100.420737,2014-10-16,ไม่ระบุพาหนะ,14134176,0:00,K,0,0,0
8670643,13.519302,100.683474,2014-09-30,ไม่ระบุพาหนะ,14120352,0:00,K,0,0,0
8670295,13.67481296,100.5911825,2014-12-22,ไม่ระบุพาหนะ,14192064,0:00,K,0,0,0
8670188,13.824579,100.759606,2014-10-10,ไม่ระบุพาหนะ,14128992,0:00,K,0,0,0
8671365,13.680477,100.503417,2014-12-02,ไม่ระบุพาหนะ,14174784,0:00,K,0,0,0
8671425,13.672823,100.606509,2014-12-03,ไม่ระบุพาหนะ,14175648,0:00,K,0,0,0
8670197,13.789342,100.514615,2014-11-29,ไม่ระบุพาหนะ,14172192,0:00,K,0,0,0
8670256,13.807603,100.8296,2014-10-04,ไม่ระบุพาหนะ,14123808,0:00,K,0,0,0
8671328,13.689261,100.608746,2014-05-06,ไม่ระบุพาหนะ,13993344,0:00,K,0,0,0
8671389,13.821454,100.575259,2014-09-01,ไม่ระบุพาหนะ,14095296,0:00,K,0,0,0
